loaded 50558 atlas points
4459 parameter points with >=2 branches
  tier2 [0] gap=2.1504e-12 sep=0.16104097430060002
  tier2 [1] gap=3.9805e-12 sep=0.11365475054241102
  tier2 [2] gap=5.8959e-12 sep=0.08947549310971203
  tier2 [3] gap=9.1228e-12 sep=0.09155571021800114
  tier2 [4] gap=5.1162e-01 sep=0.08332122588892112
  tier2 [5] gap=5.1350e-01 sep=0.0854314675409606
  tier2 [6] gap=5.1687e-01 sep=0.08778822602908876
  tier2 [7] gap=5.2130e-01 sep=0.0902519967852831
  tier2 [8] gap=5.2642e-01 sep=0.09262017453451185
  tier2 [9] gap=5.2642e-01 sep=0.0926201744276341
  tier2 [10] gap=5.2655e-01 sep=0.09229598153286947
  tier2 [11] gap=5.2655e-01 sep=0.09229598125932008
  tier2 [12] gap=5.2700e-01 sep=0.09137048112937288
  tier2 [13] gap=5.2700e-01 sep=0.09137048369112567
  tier2 [14] gap=5.2805e-01 sep=0.0899801667904585
  tier2 [15] gap=5.2805e-01 sep=0.08998016648680487
  tier2 [16] gap=5.2809e-01 sep=0.39526991627420804
  tier2 [17] gap=5.3014e-01 sep=0.08833839963562706
  tier2 [18] gap=5.3014e-01 sep=0.08833839986297443
  tier2 [19] gap=5.3038e-01 sep=0.4073307318435957
  tier2 [20] gap=5.3195e-01 sep=0.09462490309873363
  tier2 [21] gap=5.3228e-01 sep=0.4184358071971034
  tier2 [22] gap=5.3275e-01 sep=0.44692287586901325
  tier2 [23] gap=5.3374e-01 sep=0.4282696726655833
  tier2 [24] gap=5.3435e-01 sep=0.44828042032286264
  tier2 [25] gap=5.3475e-01 sep=0.4365056167604707
  tier2 [26] gap=5.3514e-01 sep=0.44683077152500167
  tier2 [27] gap=5.3523e-01 sep=0.44280468879142193
  tier2 [28] gap=5.3772e-01 sep=0.09594314212123467
  tier2 [29] gap=5.4368e-01 sep=0.09624331426396439
  tier2 [30] gap=5.4451e-01 sep=0.43625300535318234
  tier2 [31] gap=5.4451e-01 sep=0.4362530053601613
  tier2 [32] gap=5.4636e-01 sep=0.0820831923593214
  tier2 [33] gap=5.4650e-01 sep=0.4429450007954158
  tier2 [34] gap=5.4650e-01 sep=0.44294500079529675
  tier2 [35] gap=5.4782e-01 sep=0.42807694801181617
  tier2 [36] gap=5.4788e-01 sep=0.44783805879517063
  tier2 [37] gap=5.4788e-01 sep=0.4478380588058725
  tier2 [38] gap=5.4802e-01 sep=0.08407999038768618
  tier2 [39] gap=5.4870e-01 sep=0.4508174772161376
  tier2 [1057] gap=6.2710e-01 sep=0.47000224149057157
  tier2 [1927] gap=6.6134e-01 sep=0.7649403538345149
  tier2 [3982] gap=7.0747e-01 sep=0.6294460315483387
  tier2 [4394] gap=7.1633e-01 sep=0.6649065954821844
  tier2 [2740] gap=6.8415e-01 sep=0.4666777722851451
  tier2 [3907] gap=7.0622e-01 sep=0.6398618043842541
  tier2 [540] gap=6.0565e-01 sep=0.45059366309758236
  tier2 [1799] gap=6.5500e-01 sep=0.5804347915974896
  tier2 [2167] gap=6.7016e-01 sep=0.5981611364027581
  tier2 [2727] gap=6.8358e-01 sep=0.5815072123682185
  tier2 [298] gap=5.9144e-01 sep=0.41345480651423194
  tier2 [820] gap=6.1839e-01 sep=0.4975983046314659
  tier2 [677] gap=6.1289e-01 sep=0.49525178544955284
  tier2 [4349] gap=7.1445e-01 sep=0.6200736289780273
  tier2 [63] gap=5.5943e-01 sep=0.33204933178644735
  tier2 [3397] gap=6.9759e-01 sep=0.5166471104083321
  tier2 [1862] gap=6.5771e-01 sep=0.6546795818793669
  tier2 [2520] gap=6.7801e-01 sep=0.5004881624650238
  tier2 [647] gap=6.1096e-01 sep=0.41854647077782664
  tier2 [572] gap=6.0699e-01 sep=0.40605830656785
  tier2 [510] gap=6.0436e-01 sep=0.39113183726483114
  tier2 [761] gap=6.1634e-01 sep=0.466574332657654
  tier2 [533] gap=6.0547e-01 sep=0.6788067020013286
  tier2 [2348] gap=6.7420e-01 sep=0.5692631847083925
  tier2 [857] gap=6.1973e-01 sep=0.4837976173922374
  tier2 [2172] gap=6.7026e-01 sep=0.5900858261510064
  tier2 [3919] gap=7.0636e-01 sep=0.5874113359469981
  tier2 [4203] gap=7.1097e-01 sep=0.6518071734797842
  tier2 [2232] gap=6.7167e-01 sep=0.610991705701812
  tier2 [373] gap=5.9678e-01 sep=0.43575850491377444
  tier2 [2496] gap=6.7730e-01 sep=0.7371409257711217
  tier2 [62] gap=5.5909e-01 sep=0.46752036413171544
  tier2 [3184] gap=6.9410e-01 sep=0.48170601489517484
  tier2 [2836] gap=6.8653e-01 sep=0.6721631905950421
  tier2 [3110] gap=6.9259e-01 sep=0.6386402370633446
  tier2 [1610] gap=6.4992e-01 sep=0.5485542730704009
  tier2 [3000] gap=6.9037e-01 sep=0.49807711242525365
  tier2 [4069] gap=7.0862e-01 sep=0.6358162667730315
  tier2 [4249] gap=7.1201e-01 sep=0.642117201422634
  tier2 [1514] gap=6.4677e-01 sep=0.49444090500884325
  tier2 [813] gap=6.1832e-01 sep=0.47705245684565384
  tier2 [1981] gap=6.6400e-01 sep=0.4721594100928526
  tier2 [3475] gap=6.9877e-01 sep=0.636441880434663
  tier2 [4238] gap=7.1182e-01 sep=0.6598780273404408
  tier2 [541] gap=6.0572e-01 sep=0.4741135723159773
  tier2 [3531] gap=6.9967e-01 sep=0.660548546647276
  tier2 [4337] gap=7.1421e-01 sep=0.6399268908356176
  tier2 [921] gap=6.2248e-01 sep=0.3106567290754732
  tier2 [914] gap=6.2228e-01 sep=0.5140974394052419
  tier2 [794] gap=6.1732e-01 sep=0.5465263744088843
  tier2 [902] gap=6.2171e-01 sep=0.5042807680534748
  tier2 [2672] gap=6.8155e-01 sep=0.6074946672547952
  tier2 [679] gap=6.1291e-01 sep=0.4372903069077992
  tier2 [3941] gap=7.0664e-01 sep=0.6216060364329872
  tier2 [272] gap=5.8925e-01 sep=0.4096360653307052
  tier2 [2072] gap=6.6735e-01 sep=0.5495935914196467
  tier2 [3079] gap=6.9184e-01 sep=0.40856250048500803
  tier2 [4273] gap=7.1247e-01 sep=0.6856351180437509
  tier2 [2873] gap=6.8763e-01 sep=0.4543380046080578
  tier2 [822] gap=6.1848e-01 sep=0.0955406608160117
collapsed labels excluded = 4
min branch gap        = 0.5116202072812408
min root separation   = 0.0820831923593214
wrote results/all_collision_candidates.json and results/negative_regions.json in 158.2s
