re im logsig
1.4250000000 -0.6250000000 -3.091050
1.4350000000 -0.6250000000 -3.103390
1.4450000000 -0.6250000000 -3.115530
1.4550000000 -0.6250000000 -3.127470
1.4650000000 -0.6250000000 -3.139190
1.4750000000 -0.6250000000 -3.150650
1.4850000000 -0.6250000000 -3.161850
1.4950000000 -0.6250000000 -3.172770
1.5050000000 -0.6250000000 -3.183380
1.5150000000 -0.6250000000 -3.193650
1.5250000000 -0.6250000000 -3.203570
1.5350000000 -0.6250000000 -3.213110
1.5450000000 -0.6250000000 -3.222240
1.5550000000 -0.6250000000 -3.230940
1.5650000000 -0.6250000000 -3.239180
1.5750000000 -0.6250000000 -3.246930
1.5850000000 -0.6250000000 -3.254180
1.5950000000 -0.6250000000 -3.260890
1.6050000000 -0.6250000000 -3.267030
1.6150000000 -0.6250000000 -3.272590
1.6250000000 -0.6250000000 -3.277540
1.6350000000 -0.6250000000 -3.281860
1.6450000000 -0.6250000000 -3.285520
1.6550000000 -0.6250000000 -3.288520
1.6650000000 -0.6250000000 -3.290830
1.6750000000 -0.6250000000 -3.292440
1.6850000000 -0.6250000000 -3.293350
1.6950000000 -0.6250000000 -3.293540
1.7050000000 -0.6250000000 -3.293030
1.7150000000 -0.6250000000 -3.291990
1.7250000000 -0.6250000000 -3.290240
1.7350000000 -0.6250000000 -3.287780
1.7450000000 -0.6250000000 -3.284630
1.7550000000 -0.6250000000 -3.280810
1.7650000000 -0.6250000000 -3.276340
1.7750000000 -0.6250000000 -3.271240
1.7850000000 -0.6250000000 -3.265540
1.7950000000 -0.6250000000 -3.259270
1.8050000000 -0.6250000000 -3.252450
1.8150000000 -0.6250000000 -3.245140
1.8250000000 -0.6250000000 -3.237340
1.8350000000 -0.6250000000 -3.229110
1.8450000000 -0.6250000000 -3.220470
1.8550000000 -0.6250000000 -3.211460
1.8650000000 -0.6250000000 -3.202110
1.8750000000 -0.6250000000 -3.192460
1.8850000000 -0.6250000000 -3.182530
1.8950000000 -0.6250000000 -3.172350
1.9050000000 -0.6250000000 -3.161960
1.9150000000 -0.6250000000 -3.151380
1.9250000000 -0.6250000000 -3.140640
1.9350000000 -0.6250000000 -3.129750
1.9450000000 -0.6250000000 -3.118760
1.9550000000 -0.6250000000 -3.107660
1.9650000000 -0.6250000000 -3.096500
1.9750000000 -0.6250000000 -3.085270
1.9850000000 -0.6250000000 -3.074010
1.9950000000 -0.6250000000 -3.062720
2.0050000000 -0.6250000000 -3.051420
2.0150000000 -0.6250000000 -3.040120
2.0250000000 -0.6250000000 -3.028830
1.4250000000 -0.6150000000 -3.080200
1.4350000000 -0.6150000000 -3.092700
1.4450000000 -0.6150000000 -3.105030
1.4550000000 -0.6150000000 -3.117160
1.4650000000 -0.6150000000 -3.129080
1.4750000000 -0.6150000000 -3.140780
1.4850000000 -0.6150000000 -3.152230
1.4950000000 -0.6150000000 -3.163410
1.5050000000 -0.6150000000 -3.174290
1.5150000000 -0.6150000000 -3.184860
1.5250000000 -0.6150000000 -3.195090
1.5350000000 -0.6150000000 -3.204950
1.5450000000 -0.6150000000 -3.214420
1.5550000000 -0.6150000000 -3.223480
1.5650000000 -0.6150000000 -3.232080
1.5750000000 -0.6150000000 -3.240210
1.5850000000 -0.6150000000 -3.247840
1.5950000000 -0.6150000000 -3.254930
1.6050000000 -0.6150000000 -3.261460
1.6150000000 -0.6150000000 -3.267410
1.6250000000 -0.6150000000 -3.272750
