re im
1.71500000 -0.33816194
1.71181196 -0.33500000
1.71500000 -0.33124283
1.71867092 -0.33500000
1.71500000 -0.33816194
nan nan
1.71500000 -0.34132388
1.70862392 -0.33500000
1.71500000 -0.32748567
1.72234184 -0.33500000
1.71500000 -0.34132388
nan nan
1.71500000 -0.34448581
1.70543588 -0.33500000
1.71115874 -0.32500000
1.71500000 -0.32256399
1.72034314 -0.32500000
1.72500000 -0.33016700
1.72709160 -0.33500000
1.72500000 -0.33830201
1.71500000 -0.34448581
nan nan
1.70500000 -0.34860699
1.70146434 -0.34500000
1.69733710 -0.33500000
1.69972675 -0.32500000
1.70500000 -0.31917215
1.71500000 -0.31536580
1.72500000 -0.31743169
1.73262178 -0.32500000
1.73467294 -0.33500000
1.73095384 -0.34500000
1.72500000 -0.35040685
1.71500000 -0.35275731
1.70500000 -0.34860699
nan nan
1.71500000 -0.36726501
1.70517918 -0.36500000
1.70500000 -0.36496494
1.69500000 -0.35899065
1.69122865 -0.35500000
1.68574158 -0.34500000
1.68500000 -0.34032526
1.68402513 -0.33500000
1.68500000 -0.32899595
1.68551854 -0.32500000
1.69059390 -0.31500000
1.69500000 -0.31035356
1.70364580 -0.30500000
1.70500000 -0.30426978
1.71500000 -0.30199429
1.72500000 -0.30327283
1.72875301 -0.30500000
1.73500000 -0.30811732
1.74211380 -0.31500000
1.74500000 -0.32030449
1.74738178 -0.32500000
1.74896307 -0.33500000
1.74711187 -0.34500000
1.74500000 -0.34912245
1.74150803 -0.35500000
1.73500000 -0.36124976
1.72712831 -0.36500000
1.72500000 -0.36597591
1.71500000 -0.36726501
nan nan
1.69500000 -0.39052824
1.68530376 -0.38500000
1.68500000 -0.38481852
1.67500000 -0.37598397
1.67414431 -0.37500000
1.66720098 -0.36500000
1.66500000 -0.36003525
1.66288074 -0.35500000
1.66051547 -0.34500000
1.65999403 -0.33500000
1.66124844 -0.32500000
1.66449789 -0.31500000
1.66500000 -0.31401814
1.66973283 -0.30500000
1.67500000 -0.29843781
1.67833939 -0.29500000
1.68500000 -0.28954660
1.69330496 -0.28500000
1.69500000 -0.28412460
1.70500000 -0.28082729
1.71500000 -0.27958178
1.72500000 -0.28017238
1.73500000 -0.28270244
1.74007889 -0.28500000
1.74500000 -0.28731298
1.75500000 -0.29477434
1.75524307 -0.29500000
1.76378435 -0.30500000
1.76500000 -0.30715907
1.76924794 -0.31500000
1.77235001 -0.32500000
1.77353699 -0.33500000
1.77306406 -0.34500000
1.77082844 -0.35500000
1.76643969 -0.36500000
1.76500000 -0.36732638
1.75951502 -0.37500000
1.75500000 -0.37975357
1.74823032 -0.38500000
1.74500000 -0.38724023
1.73500000 -0.39191778
1.72500000 -0.39426724
1.71500000 -0.39479938
1.70500000 -0.39364531
1.69500000 -0.39052824
nan nan
1.68500000 -0.44610884
1.68262470 -0.44500000
1.67500000 -0.44157445
1.66500000 -0.43534932
1.66454574 -0.43500000
1.65500000 -0.42745129
1.65249201 -0.42500000
1.64500000 -0.41708178
1.64332355 -0.41500000
1.63615440 -0.40500000
1.63500000 -0.40311934
1.63047217 -0.39500000
1.62608907 -0.38500000
1.62500000 -0.38179421
1.62275126 -0.37500000
1.62039802 -0.36500000
1.61901570 -0.35500000
1.61855011 -0.34500000
1.61898887 -0.33500000
1.62036799 -0.32500000
1.62277418 -0.31500000
1.62500000 -0.30866140
1.62623608 -0.30500000
1.63083011 -0.29500000
1.63500000 -0.28808362
1.63692699 -0.28500000
1.64479446 -0.27500000
1.64500000 -0.27477463
1.65500000 -0.26505783
1.65507008 -0.26500000
1.66500000 -0.25760074
1.66945429 -0.25500000
1.67500000 -0.25189956
1.68500000 -0.24764343
1.69404184 -0.24500000
1.69500000 -0.24471037
1.70500000 -0.24275749
1.71500000 -0.24191717
