re im
2.77941262 -1.42893953
2.77378588 -1.42303793
2.77386764 -1.41303793
2.77941262 -1.40758847
2.78941262 -1.40703875
2.79564589 -1.41303793
2.79568233 -1.42303793
2.78941262 -1.42942991
2.77941262 -1.42893953
nan nan
2.77941262 -1.43871750
2.77081844 -1.43303793
2.76941262 -1.43143253
2.76485047 -1.42303793
2.76547997 -1.41303793
2.76941262 -1.40723978
2.77381056 -1.40303793
2.77941262 -1.39976937
2.78941262 -1.39963468
2.79527615 -1.40303793
2.79941262 -1.40676381
2.80363449 -1.41303793
2.80416783 -1.42303793
2.79941262 -1.43162412
2.79807415 -1.43303793
2.78941262 -1.43875778
2.77941262 -1.43871750
nan nan
2.76941262 -1.45325734
2.76906540 -1.45303793
2.75941262 -1.44599051
2.75696301 -1.44303793
2.75171107 -1.43303793
2.75013914 -1.42303793
2.75126388 -1.41303793
2.75582489 -1.40303793
2.75941262 -1.39888646
2.76633877 -1.39303793
2.76941262 -1.39110313
2.77941262 -1.38776434
2.78941262 -1.38784540
2.79941262 -1.39144148
2.80180334 -1.39303793
2.80941262 -1.39977125
2.81208221 -1.40303793
2.81655450 -1.41303793
2.81749728 -1.42303793
2.81555880 -1.43303793
2.80992602 -1.44303793
2.80941262 -1.44369745
2.79941262 -1.45218945
2.79701386 -1.45303793
2.78941262 -1.45603515
2.77941262 -1.45641809
2.76941262 -1.45325734
nan nan
2.76941262 -1.49489478
2.76285228 -1.49303793
2.75941262 -1.49213366
2.74941262 -1.48701056
2.74459555 -1.48303793
2.73941262 -1.47826080
2.73532075 -1.47303793
2.72943501 -1.46303793
2.72941262 -1.46298670
2.72561533 -1.45303793
2.72351559 -1.44303793
2.72292192 -1.43303793
2.72376085 -1.42303793
2.72616967 -1.41303793
2.72941262 -1.40553221
2.73037959 -1.40303793
2.73662921 -1.39303793
2.73941262 -1.38990279
2.74631240 -1.38303793
2.74941262 -1.38063272
2.75941262 -1.37471626
2.76405776 -1.37303793
2.76941262 -1.37114288
2.77941262 -1.36948000
2.78941262 -1.36973302
2.79941262 -1.37197039
2.80198550 -1.37303793
2.80941262 -1.37616539
2.81916557 -1.38303793
2.81941262 -1.38325108
2.82832652 -1.39303793
2.82941262 -1.39484364
2.83421643 -1.40303793
2.83765206 -1.41303793
2.83923133 -1.42303793
2.83932557 -1.43303793
2.83795458 -1.44303793
2.83492845 -1.45303793
2.83003172 -1.46303793
2.82941262 -1.46408970
2.82283840 -1.47303793
2.81941262 -1.47701639
2.81217233 -1.48303793
2.80941262 -1.48530744
2.79941262 -1.49084317
2.79230911 -1.49303793
2.78941262 -1.49407818
2.77941262 -1.49552653
2.76941262 -1.49489478
nan nan
2.45941262 -1.67397414
2.46137415 -1.67303793
2.46941262 -1.66909825
2.47941262 -1.66423736
2.48191759 -1.66303793
2.48941262 -1.65933641
2.49941262 -1.65442033
2.50225225 -1.65303793
2.50941262 -1.64942453
2.51941262 -1.64438106
2.52209324 -1.64303793
2.52941262 -1.63921408
2.53941262 -1.63394448
2.54113602 -1.63303793
2.54941262 -1.62846684
2.55903762 -1.62303793
2.55941262 -1.62281474
2.56941262 -1.61683369
2.57557529 -1.61303793
2.57941262 -1.61051393
2.58941262 -1.60372040
2.59039605 -1.60303793
2.59941262 -1.59623856
2.60346000 -1.59303793
2.60941262 -1.58785752
2.61466051 -1.58303793
2.61941262 -1.57814861
2.62408691 -1.57303793
2.62941262 -1.56636023
2.63188591 -1.56303793
2.63824808 -1.55303793
2.63941262 -1.55092333
2.64341539 -1.54303793
2.64759329 -1.53303793
2.64941262 -1.52794959
2.65101216 -1.52303793
2.65386230 -1.51303793
2.65633200 -1.50303793
2.65858628 -1.49303793
2.65941262 -1.48944868
2.66072602 -1.48303793
2.66286240 -1.47303793
2.66515116 -1.46303793
2.66770858 -1.45303793
2.66941262 -1.44738437
2.67057158 -1.44303793
2.67378523 -1.43303793
2.67762500 -1.42303793
2.67941262 -1.41921155
2.68202878 -1.41303793
2.68726115 -1.40303793
2.68941262 -1.39965825
2.69340330 -1.39303793
2.69941262 -1.38501742
2.70086995 -1.38303793
2.70941262 -1.37362765
2.70996883 -1.37303793
2.71941262 -1.36466667
2.72147230 -1.36303793
2.72941262 -1.35753165
2.73738377 -1.35303793
2.73941262 -1.35197727
2.74941262 -1.34771366
2.75941262 -1.34475894
2.76915935 -1.34303793
2.76941262 -1.34299126
2.77941262 -1.34222887
2.78941262 -1.34262102
2.79209508 -1.34303793
2.79941262 -1.34408927
2.80941262 -1.34672611
2.81941262 -1.35078185
2.82361432 -1.35303793
2.82941262 -1.35631586
2.83858476 -1.36303793
2.83941262 -1.36372428
2.84899659 -1.37303793
2.84941262 -1.37352992
2.85690180 -1.38303793
2.85941262 -1.38715072
2.86299315 -1.39303793
2.86765051 -1.40303793
2.86941262 -1.40818433
2.87119794 -1.41303793
2.87382770 -1.42303793
2.87554830 -1.43303793
2.87649055 -1.44303793
2.87673927 -1.45303793
2.87635676 -1.46303793
2.87538471 -1.47303793
2.87386847 -1.48303793
2.87186450 -1.49303793
2.86944292 -1.50303793
2.86941262 -1.50315741
2.86664950 -1.51303793
2.86357837 -1.52303793
2.86036032 -1.53303793
2.85941262 -1.53612372
2.85701262 -1.54303793
2.85372690 -1.55303793
2.85069804 -1.56303793
2.84941262 -1.56805769
2.84796849 -1.57303793
2.84569490 -1.58303793
2.84407220 -1.59303793
2.84318120 -1.60303793
2.84306953 -1.61303793
2.84376548 -1.62303793
2.84527373 -1.63303793
2.84758739 -1.64303793
2.84941262 -1.64897830
2.85060775 -1.65303793
2.85425573 -1.66303793
2.85858043 -1.67303793
2.85941262 -1.67472082
2.86337026 -1.68303793
2.86871448 -1.69303793
2.86941262 -1.69422706
2.87441905 -1.70303793
2.87941262 -1.71112969
2.88055708 -1.71303793
2.88699407 -1.72303793
nan nan
2.45941262 -1.55756441
2.46584481 -1.55303793
2.46941262 -1.55048160
2.47941262 -1.54315296
2.47956646 -1.54303793
2.48941262 -1.53553351
2.49259232 -1.53303793
2.49941262 -1.52758554
2.50491875 -1.52303793
2.50941262 -1.51926041
2.51655209 -1.51303793
2.51941262 -1.51050413
2.52751635 -1.50303793
2.52941262 -1.50126606
2.53784508 -1.49303793
2.53941262 -1.49149008
2.54759086 -1.48303793
2.54941262 -1.48114155
2.55682010 -1.47303793
2.55941262 -1.47019494
2.56561136 -1.46303793
2.56941262 -1.45866752
2.57405186 -1.45303793
2.57941262 -1.44661394
2.58223455 -1.44303793
2.58941262 -1.43413729
2.59025090 -1.43303793
2.59815255 -1.42303793
2.59941262 -1.42150708
2.60603850 -1.41303793
2.60941262 -1.40894298
2.61405414 -1.40303793
2.61941262 -1.39664683
2.62231292 -1.39303793
2.62941262 -1.38484741
2.63092861 -1.38303793
2.63941262 -1.37373632
2.64003564 -1.37303793
2.64941262 -1.36343646
2.64979932 -1.36303793
2.65941262 -1.35400873
2.66046044 -1.35303793
2.66941262 -1.34545181
2.67237382 -1.34303793
2.67941262 -1.33774388
2.68611100 -1.33303793
2.68941262 -1.33086892
2.69941262 -1.32481775
2.70268294 -1.32303793
2.70941262 -1.31953805
2.71941262 -1.31503793
2.72467913 -1.31303793
2.72941262 -1.31126535
2.73941262 -1.30818091
2.74941262 -1.30583598
2.75941262 -1.30420286
