a b z
0.0000000000 0.4000000000 1.5800000000
0.0500000000 0.3500000000 1.5800000000
0.1000000000 0.3000000000 1.5800000000
0.1500000000 0.2500000000 1.5800000000
0.2000000000 0.2000000000 1.5800000000
0.2500000000 0.1500000000 1.5800000000
0.3000000000 0.1000000000 1.5800000000
0.3500000000 0.0500000000 1.5800000000
0.4000000000 0.0000000000 1.5800000000

0.0000000000 0.4000000000 1.6892638245
0.0500000000 0.3500000000 1.6867690818
0.1000000000 0.3000000000 1.6850020319
0.1500000000 0.2500000000 1.6839481434
0.2000000000 0.2000000000 1.6835979353
0.2500000000 0.1500000000 1.6839481434
0.3000000000 0.1000000000 1.6850020319
0.3500000000 0.0500000000 1.6867690818
0.4000000000 0.0000000000 1.6892638245
