re im logsig
2.4594126156 -1.7230379311 -6.222210
2.4694126156 -1.7230379311 -6.231950
2.4794126156 -1.7230379311 -6.241310
2.4894126156 -1.7230379311 -6.250270
2.4994126156 -1.7230379311 -6.258810
2.5094126156 -1.7230379311 -6.266900
2.5194126156 -1.7230379311 -6.274530
2.5294126156 -1.7230379311 -6.281660
2.5394126156 -1.7230379311 -6.288280
2.5494126156 -1.7230379311 -6.294360
2.5594126156 -1.7230379311 -6.299890
2.5694126156 -1.7230379311 -6.304840
2.5794126156 -1.7230379311 -6.309200
2.5894126156 -1.7230379311 -6.312940
2.5994126156 -1.7230379311 -6.316060
2.6094126156 -1.7230379311 -6.318530
2.6194126156 -1.7230379311 -6.320350
2.6294126156 -1.7230379311 -6.321500
2.6394126156 -1.7230379311 -6.321960
2.6494126156 -1.7230379311 -6.321740
2.6594126156 -1.7230379311 -6.320810
2.6694126156 -1.7230379311 -6.319180
2.6794126156 -1.7230379311 -6.316830
2.6894126156 -1.7230379311 -6.313750
2.6994126156 -1.7230379311 -6.309960
2.7094126156 -1.7230379311 -6.305430
2.7194126156 -1.7230379311 -6.300170
2.7294126156 -1.7230379311 -6.294180
2.7394126156 -1.7230379311 -6.287460
2.7494126156 -1.7230379311 -6.280020
2.7594126156 -1.7230379311 -6.271860
2.7694126156 -1.7230379311 -6.262980
2.7794126156 -1.7230379311 -6.253410
2.7894126156 -1.7230379311 -6.243150
2.7994126156 -1.7230379311 -6.232220
2.8094126156 -1.7230379311 -6.220630
2.8194126156 -1.7230379311 -6.208410
2.8294126156 -1.7230379311 -6.195570
2.8394126156 -1.7230379311 -6.182150
2.8494126156 -1.7230379311 -6.168160
2.8594126156 -1.7230379311 -6.153630
2.8694126156 -1.7230379311 -6.138600
2.8794126156 -1.7230379311 -6.123090
2.8894126156 -1.7230379311 -6.107130
2.8994126156 -1.7230379311 -6.090750
2.9094126156 -1.7230379311 -6.073970
2.9194126156 -1.7230379311 -6.056840
2.9294126156 -1.7230379311 -6.039380
2.9394126156 -1.7230379311 -6.021620
2.9494126156 -1.7230379311 -6.003580
2.9594126156 -1.7230379311 -5.985300
2.9694126156 -1.7230379311 -5.966790
2.9794126156 -1.7230379311 -5.948090
2.9894126156 -1.7230379311 -5.929210
2.9994126156 -1.7230379311 -5.910190
3.0094126156 -1.7230379311 -5.891030
3.0194126156 -1.7230379311 -5.871760
3.0294126156 -1.7230379311 -5.852400
3.0394126156 -1.7230379311 -5.832970
3.0494126156 -1.7230379311 -5.813480
3.0594126156 -1.7230379311 -5.793940
2.4594126156 -1.7130379311 -6.198640
2.4694126156 -1.7130379311 -6.208470
2.4794126156 -1.7130379311 -6.217940
2.4894126156 -1.7130379311 -6.227030
2.4994126156 -1.7130379311 -6.235720
2.5094126156 -1.7130379311 -6.243990
2.5194126156 -1.7130379311 -6.251820
2.5294126156 -1.7130379311 -6.259180
2.5394126156 -1.7130379311 -6.266060
2.5494126156 -1.7130379311 -6.272430
2.5594126156 -1.7130379311 -6.278260
2.5694126156 -1.7130379311 -6.283550
2.5794126156 -1.7130379311 -6.288280
2.5894126156 -1.7130379311 -6.292410
2.5994126156 -1.7130379311 -6.295950
2.6094126156 -1.7130379311 -6.298860
2.6194126156 -1.7130379311 -6.301140
2.6294126156 -1.7130379311 -6.302770
2.6394126156 -1.7130379311 -6.303730
2.6494126156 -1.7130379311 -6.304010
2.6594126156 -1.7130379311 -6.303610
2.6694126156 -1.7130379311 -6.302490
2.6794126156 -1.7130379311 -6.300670
2.6894126156 -1.7130379311 -6.298120
2.6994126156 -1.7130379311 -6.294830
2.7094126156 -1.7130379311 -6.290810
2.7194126156 -1.7130379311 -6.286040
2.7294126156 -1.7130379311 -6.280520
2.7394126156 -1.7130379311 -6.274250
2.7494126156 -1.7130379311 -6.267230
2.7594126156 -1.7130379311 -6.259460
2.7694126156 -1.7130379311 -6.250960
2.7794126156 -1.7130379311 -6.241710
2.7894126156 -1.7130379311 -6.231750
2.7994126156 -1.7130379311 -6.221080
2.8094126156 -1.7130379311 -6.209720
2.8194126156 -1.7130379311 -6.197680
2.8294126156 -1.7130379311 -6.185000
2.8394126156 -1.7130379311 -6.171700
2.8494126156 -1.7130379311 -6.157800
2.8594126156 -1.7130379311 -6.143330
2.8694126156 -1.7130379311 -6.128330
2.8794126156 -1.7130379311 -6.112820
2.8894126156 -1.7130379311 -6.096830
2.8994126156 -1.7130379311 -6.080410
2.9094126156 -1.7130379311 -6.063570
2.9194126156 -1.7130379311 -6.046360
2.9294126156 -1.7130379311 -6.028800
2.9394126156 -1.7130379311 -6.010920
2.9494126156 -1.7130379311 -5.992770
2.9594126156 -1.7130379311 -5.974350
2.9694126156 -1.7130379311 -5.955710
2.9794126156 -1.7130379311 -5.936860
2.9894126156 -1.7130379311 -5.917840
2.9994126156 -1.7130379311 -5.898660
3.0094126156 -1.7130379311 -5.879350
3.0194126156 -1.7130379311 -5.859930
3.0294126156 -1.7130379311 -5.840410
3.0394126156 -1.7130379311 -5.820820
3.0494126156 -1.7130379311 -5.801170
3.0594126156 -1.7130379311 -5.781480
2.4594126156 -1.7030379311 -6.175560
2.4694126156 -1.7030379311 -6.185500
2.4794126156 -1.7030379311 -6.195100
2.4894126156 -1.7030379311 -6.204350
2.4994126156 -1.7030379311 -6.213220
2.5094126156 -1.7030379311 -6.221690
2.5194126156 -1.7030379311 -6.229740
2.5294126156 -1.7030379311 -6.237350
2.5394126156 -1.7030379311 -6.244510
2.5494126156 -1.7030379311 -6.251180
2.5594126156 -1.7030379311 -6.257350
2.5694126156 -1.7030379311 -6.263000
2.5794126156 -1.7030379311 -6.268110
2.5894126156 -1.7030379311 -6.272650
2.5994126156 -1.7030379311 -6.276620
2.6094126156 -1.7030379311 -6.279990
2.6194126156 -1.7030379311 -6.282750
2.6294126156 -1.7030379311 -6.284870
2.6394126156 -1.7030379311 -6.286350
2.6494126156 -1.7030379311 -6.287150
2.6594126156 -1.7030379311 -6.287280
2.6694126156 -1.7030379311 -6.286700
2.6794126156 -1.7030379311 -6.285410
2.6894126156 -1.7030379311 -6.283390
2.6994126156 -1.7030379311 -6.280630
2.7094126156 -1.7030379311 -6.277120
2.7194126156 -1.7030379311 -6.272840
2.7294126156 -1.7030379311 -6.267800
2.7394126156 -1.7030379311 -6.261980
2.7494126156 -1.7030379311 -6.255380
2.7594126156 -1.7030379311 -6.248000
2.7694126156 -1.7030379311 -6.239850
2.7794126156 -1.7030379311 -6.230930
2.7894126156 -1.7030379311 -6.221250
2.7994126156 -1.7030379311 -6.210820
2.8094126156 -1.7030379311 -6.199670
2.8194126156 -1.7030379311 -6.187810
2.8294126156 -1.7030379311 -6.175260
2.8394126156 -1.7030379311 -6.162050
2.8494126156 -1.7030379311 -6.148210
2.8594126156 -1.7030379311 -6.133770
2.8694126156 -1.7030379311 -6.118770
2.8794126156 -1.7030379311 -6.103230
2.8894126156 -1.7030379311 -6.087190
2.8994126156 -1.7030379311 -6.070690
2.9094126156 -1.7030379311 -6.053760
2.9194126156 -1.7030379311 -6.036430
2.9294126156 -1.7030379311 -6.018740
2.9394126156 -1.7030379311 -6.000730
2.9494126156 -1.7030379311 -5.982420
2.9594126156 -1.7030379311 -5.963850
2.9694126156 -1.7030379311 -5.945050
2.9794126156 -1.7030379311 -5.926030
2.9894126156 -1.7030379311 -5.906840
2.9994126156 -1.7030379311 -5.887490
3.0094126156 -1.7030379311 -5.868000
3.0194126156 -1.7030379311 -5.848410
3.0294126156 -1.7030379311 -5.828720
3.0394126156 -1.7030379311 -5.808960
3.0494126156 -1.7030379311 -5.789140
3.0594126156 -1.7030379311 -5.769280
2.4594126156 -1.6930379311 -6.152930
2.4694126156 -1.6930379311 -6.163010
2.4794126156 -1.6930379311 -6.172760
2.4894126156 -1.6930379311 -6.182190
2.4994126156 -1.6930379311 -6.191250
2.5094126156 -1.6930379311 -6.199950
2.5194126156 -1.6930379311 -6.208250
2.5294126156 -1.6930379311 -6.216140
2.5394126156 -1.6930379311 -6.223590
2.5494126156 -1.6930379311 -6.230580
2.5594126156 -1.6930379311 -6.237110
2.5694126156 -1.6930379311 -6.243140
2.5794126156 -1.6930379311 -6.248650
2.5894126156 -1.6930379311 -6.253630
2.5994126156 -1.6930379311 -6.258050
2.6094126156 -1.6930379311 -6.261900
2.6194126156 -1.6930379311 -6.265150
2.6294126156 -1.6930379311 -6.267790
2.6394126156 -1.6930379311 -6.269790
2.6494126156 -1.6930379311 -6.271140
2.6594126156 -1.6930379311 -6.271810
2.6694126156 -1.6930379311 -6.271790
2.6794126156 -1.6930379311 -6.271050
2.6894126156 -1.6930379311 -6.269570
2.6994126156 -1.6930379311 -6.267350
2.7094126156 -1.6930379311 -6.264360
2.7194126156 -1.6930379311 -6.260590
2.7294126156 -1.6930379311 -6.256030
2.7394126156 -1.6930379311 -6.250660
2.7494126156 -1.6930379311 -6.244480
2.7594126156 -1.6930379311 -6.237490
2.7694126156 -1.6930379311 -6.229690
2.7794126156 -1.6930379311 -6.221090
2.7894126156 -1.6930379311 -6.211680
2.7994126156 -1.6930379311 -6.201480
2.8094126156 -1.6930379311 -6.190520
2.8194126156 -1.6930379311 -6.178800
2.8294126156 -1.6930379311 -6.166360
2.8394126156 -1.6930379311 -6.153220
2.8494126156 -1.6930379311 -6.139420
2.8594126156 -1.6930379311 -6.124980
2.8694126156 -1.6930379311 -6.109940
2.8794126156 -1.6930379311 -6.094340
2.8894126156 -1.6930379311 -6.078210
2.8994126156 -1.6930379311 -6.061600
