candidate,branch,status,solver,cf_depth,radial_n,precision_dps,omega_re,omega_im,residual,distance_from_historical_seed
legacy-interaction-01,m2_0__l4__N2,FAILED_ROOT_VALIDITY,A,160,,45,2.509412615584921,-1.5480379310838395,1.196752089536101e-43,1.9665682260847222e-14
legacy-interaction-01,m2_0__l4__N2,FAILED_ROOT_VALIDITY,A,240,,45,2.509412615584921,-1.5480379310838395,1.2720746130254902e-43,1.9665682260847222e-14
legacy-interaction-01,m2_0__l4__N2,FAILED_ROOT_VALIDITY,A,320,,45,2.509412615584921,-1.5480379310838395,1.2625582760230903e-43,1.9665682260847222e-14
legacy-interaction-01,m2_0__l4__N2,NOT_AN_INDEPENDENT_CONFIRMATION,C,,160,,2.578646190572577,-2.054952005405842,1.68998563170563e-16,0.5116201390204544
legacy-interaction-01,m2_0__l4__N2,NOT_AN_INDEPENDENT_CONFIRMATION,C,,220,,2.5786462605254816,-2.0549528729996314,5.3284654133205924e-17,0.5116210080999912
legacy-interaction-01,m2_0__l4__N2,NOT_AN_INDEPENDENT_CONFIRMATION,C,,280,,2.5786539873434178,-2.0549546067780122,8.100752753781398e-17,0.5116237715937703
legacy-interaction-01,m2_0__l4__N3,ROOT_CHECK_PASSED,A,160,,45,2.5786462808702995,-2.0549520619510715,4.805693419447783e-42,2.490312178632455e-11
legacy-interaction-01,m2_0__l4__N3,ROOT_CHECK_PASSED,A,240,,45,2.5786462808694735,-2.054952061950967,2.0660918833200598e-41,2.4448795659742793e-11
legacy-interaction-01,m2_0__l4__N3,ROOT_CHECK_PASSED,A,320,,45,2.578646280869473,-2.0549520619509676,1.3714564168729352e-41,2.444817055758557e-11
legacy-interaction-01,m2_0__l4__N3,ROOT_CHECK_PASSED,C,,160,,2.5786461905861686,-2.0549520054506254,6.620563235330269e-17,1.0650207411833725e-07
legacy-interaction-01,m2_0__l4__N3,ROOT_CHECK_PASSED,C,,220,,2.5786462604676976,-2.0549528738126157,2.7620724870282923e-16,8.120986918739862e-07
legacy-interaction-01,m2_0__l4__N3,ROOT_CHECK_PASSED,C,,280,,2.5786539867818163,-2.0549546065250213,1.5304680963350614e-16,8.11517624913722e-06
legacy-interaction-02,m2_0__l4__N2,FAILED_ROOT_VALIDITY,A,160,,45,2.547642697465064,-1.552226289122222,7.767638925319686e-44,3.6980260721190165e-14
legacy-interaction-02,m2_0__l4__N2,FAILED_ROOT_VALIDITY,A,240,,45,2.547642697465064,-1.552226289122222,8.421762471072361e-44,3.6980260721190165e-14
legacy-interaction-02,m2_0__l4__N2,FAILED_ROOT_VALIDITY,A,320,,45,2.547642697465064,-1.552226289122222,8.421762471072361e-44,3.6980260721190165e-14
legacy-interaction-02,m2_0__l4__N2,NOT_AN_INDEPENDENT_CONFIRMATION,C,,160,,2.5942085682871303,-2.06361429299401,1.2662828318858356e-16,0.5135037203656844
legacy-interaction-02,m2_0__l4__N2,NOT_AN_INDEPENDENT_CONFIRMATION,C,,220,,2.5942089130634165,-2.063613773938027,1.0530374902267339e-16,0.5135032347136652
legacy-interaction-02,m2_0__l4__N2,NOT_AN_INDEPENDENT_CONFIRMATION,C,,280,,2.5942090672593876,-2.0636149919739553,1.2697946983364715e-16,0.5135044617140244
legacy-interaction-02,m2_0__l4__N3,ROOT_CHECK_PASSED,A,160,,45,2.594208551803226,-2.0636143215937355,3.615045815594733e-41,1.7595530637986232e-11
legacy-interaction-02,m2_0__l4__N3,ROOT_CHECK_PASSED,A,240,,45,2.5942085518025144,-2.0636143215937963,4.869297973947147e-41,1.6941346609027184e-11
legacy-interaction-02,m2_0__l4__N3,ROOT_CHECK_PASSED,A,320,,45,2.5942085518025144,-2.0636143215937963,2.876118819815259e-41,1.6941346609027184e-11
legacy-interaction-02,m2_0__l4__N3,ROOT_CHECK_PASSED,C,,160,,2.5942085682335585,-2.0636142929506764,1.480300861932642e-16,3.3024446921518836e-08
legacy-interaction-02,m2_0__l4__N3,ROOT_CHECK_PASSED,C,,220,,2.594208913149812,-2.0636137736502307,8.559131490944573e-17,6.563683960696302e-07
legacy-interaction-02,m2_0__l4__N3,ROOT_CHECK_PASSED,C,,280,,2.5942090634576362,-2.0636149905755867,1.7624433252974453e-16,8.422300342953949e-07
legacy-interaction-03,m2_0__l4__N2,FAILED_ROOT_VALIDITY,A,160,,45,2.5840825863467147,-1.5545070485420678,1.886693409809253e-43,8.347223457752037e-14
legacy-interaction-03,m2_0__l4__N2,FAILED_ROOT_VALIDITY,A,240,,45,2.5840825863467147,-1.5545070485420678,2.0095019414126987e-43,8.347223457752037e-14
